Category,Request,Notes,Type?,Phase,Effort,Filters
Events,Upcoming Events List - Alumni Events,,Widget,1,,"Events list based on preferences (virtual, types, etc…); Who is willing to travel? "
Events,Upcoming Events List - Non-Alumni Events,,Widget,1,,Maybe based on geographic location … Based on even location and alumni location. Who is willing to travel? 
Events,Event Registrations - Upcoming,,Widget,1,,
Events,Events - Create their own Alumni Events (Alumni Created/Managed Events); Ability to have alumni invite others to events. ,"Need to talk through the process flow for this (approval, etc…)",Screen Flow (in widget),,,
,,,,,,
Communications,Communications Sent - Email or SMS ,"SMS, Activity History, IER",Widget,,,
,,,,,,
Link,Link to external system - PeopleGrove,,Widget,1,,
Link,Link to external system - Handshake,,Widget,1,,
Link,Link to external system - Athletics Ticketing (Paceolen?),Allow alumni to purchase Athletic tickets / maybe show what ticket(s) they had purchased. ,Widget,1,,
Link,Link to Athletics?,,Widget,1,,
Link,Link to external system - donations; Give button – with seasonal impact story telling based on college/school especially around Tommie Give Day.    Can show how past given has impacted in real world… ,,Widget,1,,
Link,Link to Law Directory,,Widget,1,,
Link,Link to Business Directory,,Widget,1,,
Link,Link to St. Thomas Connect - connect with others in St. Thomas Connect,,Widget,1,,
Link,Link to external system - Job Listings – Handshake  or connection to career services – just a link – St. Thomas Connect.,,Widget,1,,
Link,Link to request a transcript,,Widget,1,,
Link,Link to website – other ways to engage – referral of students.  ,,Widget,1,,
Link,Link to Bookstore online sales – customize options – maybe a link.,,Widget,1,,
Link,Link for Parents of current students – CampusESP link,,Widget,1,,
,,,,,,
Volunteer Management,Volunteer Management - search & sign up for volunteer opps,Ability to volunteer via the portal,Development - Volunteers4Salesforce?,,,
Volunteer Management,Volunteer Management - Create volunteer opps? ,,Screen Flow (in widget),,,
,,,,,,
Platform Functionality,Mobile App,,Contract Update/Licensing,,,
,,,,,,
Alumni Profile,Upload profile photo,Migrate current functionality,,,,
Alumni Profile,Alumni Directory - Update contact information,Migrate current functionality,,1,,
Alumni Profile,Alumni Profile -  Update Business Info,Migrate current functionality,,1,,
Alumni Profile,Alumni Directory - Search other Alums; ,Migrate current functionality,,1,,
Alumni Profile,"Have better ability to connect Alumni to Alumni. ; Want to connect with alumni – one-to-one, also allow alumni to send message to group? Could be a message on the portal? – user create their own widget",Need to talk through more of what this means. ,,1,,
,,,,1,,
Alumni Preferences,"Preference Center: For all communications (Email, Text, Mail, Phone, etc…); Real Preference Center (all channels and content). Allow alumni functionality to provide CHANNEL preference(s) ",This would need to be a project with the MarComm team,,,,
Alumni Preferences,"Allow alumni to provide CONTENT preference(s) (i.e. virtual events, career coaching, etc).  Allow alumni to indicate interests and personalize what is displayed on their portal based on self-identified interests. Have the portal easily connect them with areas of engagement/interest",Need to compile list of Content types (would align with Filters and Sender Keys),,,,
,,,,,,
Alumni Updates,Videos? Photos?; Could show them pictures from events they've attended. Bonus: pictures of them at events.; ,Photos would need to be tagged with who is in them to display. When should they show?,,1,,
Alumni Updates,Allow ability to upload photo of themselves or life events.,Does this need approval? Should it be approved? Where will it show?,,1,,
Alumni Updates,Have top 10 playlist on portal .  Have videos imbedded in portal.,,Widget ,1,,
Alumni Updates,Sharing their story.   Provide means to enter this.  With Alumni Notes.  With uploaded photos.  ,Migrate existing functionality. Might be added functionality?,,1,,
Alumni Updates,Alumni News - News and information section – have alum be an ambassador – want to have proud to be part of the community.   ,Need definition of what information to show & where it is in SF,,1,,
Alumni Updates,Give them easy access to what is new with UST.  ,Content can be updated as needed by UA,Widget,1,,
Alumni Updates,Follow us on our social channels. ,Need links,Widget,1,,
Alumni Updates,"Provide information we have on alumni on their portal, like UST awards they won, that they belong to a giving society, their impact reports, etc.",Need definition of what information to show & where it is in SF,Widget,,,
Alumni Updates,"Engagement  - year in review type of thing; Show year end engagement summary – events attended / year wrap – all engagement.    – Provide incentives of engagement to always have a step forward.   Score model, use what is already developed – use existing frameworks.  ",Need definition of what information to show & where it is in SF,Widget,,,
,,,,,,
Giving Information,"Donation reports; Donor information - Endowment Reports, Impact Reports; Would love to see all gift receipts, Impact reports, Endowment reports, etc for that alumni on the portal. ",Need definition of what information to show & where it is in SF,Widget,,,
Giving Information,Student thank you's; Donor – surface up a thank you message,Part of this story: https://stthomas.atlassian.net/browse/ECRMSF-5238,Widget,,,
Giving Information,Gift Receipts; Show gifts,Need definition of what information to show & where it is in SF,Widget,,,
Giving Information,Show Pledges,Need definition of what information to show & where it is in SF,Widget,,,
Giving Information,Assigned Gift Officer – include photo and contact information – Allow GO/UA to update info their widget,What information do you want to show? Will need fields added to User for GO's to update,Widget,1,,
